epoch,lr,time,loss
0,0.001,15:53:12,0.049356419103397865
1,0.001,15:59:02,0.0029451761802820743
2,0.001,16:01:55,0.0012564367560584763
3,0.001,16:04:50,0.0009718028205752187
4,0.001,16:07:44,0.0007108817270211102
5,0.001,16:10:37,0.00066852344086015
6,0.001,16:13:27,0.0006775720419624967
7,0.001,16:16:27,0.0005199631266450486
8,0.001,16:19:45,0.0005700652841362654
9,0.001,16:22:40,0.0005440772887458445
10,0.001,16:25:44,0.00034237652056738426
11,0.001,16:28:35,0.00038721774360800105
12,0.001,16:31:25,0.0003003053977176249
13,0.001,16:34:31,0.0002754689842509335
14,0.001,16:37:31,0.0002108201919166497
15,0.001,16:40:45,0.00027580378700935626
16,0.001,16:43:56,0.00015078432277559886
17,0.001,16:47:07,0.0002742469394060955
18,0.001,16:50:13,0.00014849315071093077
19,0.001,16:53:05,0.0001466201254439267
20,0.001,16:56:10,0.00027056496024108564
21,0.001,16:59:17,0.0001653939545560212
22,0.001,17:02:09,0.0003321664560945041
23,0.001,17:04:59,0.00016812440176782037
24,0.001,17:07:50,0.00017184263179208795
25,0.001,17:10:55,0.00020569443576174442
26,0.001,17:14:04,0.00015810146734091904
27,0.001,17:17:17,0.00023437059530009272
28,0.001,17:20:12,0.0002522980523666139
29,0.001,17:23:02,0.00015228687690655682
30,0.001,17:25:54,0.000366680537764104
31,0.001,17:28:45,0.00015567716489090871
32,0.001,17:31:40,0.000182188044665593
33,0.001,17:34:33,0.00015599462874114458
34,0.001,17:37:26,0.00024011181457364545
35,0.001,17:40:22,0.00015595035907280255
36,0.001,17:43:14,0.00018530208799300224
37,0.001,17:46:02,0.00012770508447839716
38,0.001,17:48:50,0.0001375927425207373
39,0.001,17:51:40,0.00016813045238369057
40,0.001,17:54:29,0.00021981558723447098
41,0.001,17:57:19,0.00016758502198691223
42,0.001,18:00:46,0.00012485833262663646
43,0.001,18:04:03,0.0001314369062084301
44,0.001,18:07:24,0.0001927690436264375
45,0.001,18:10:21,0.00012685549549011768
46,0.001,18:13:11,0.00013319290369399666
47,0.001,18:16:02,0.000141987339152871
48,0.001,18:18:53,0.00014447407570367075
49,0.001,18:21:45,0.00011246120856666026
50,0.001,18:24:52,0.00015688477775483613
51,0.001,18:28:50,0.0005855598659186805
52,0.001,18:32:46,0.00010585343986736603
53,0.001,18:36:34,0.00013183918880708354
54,0.001,18:40:30,0.0002656649033269403
55,0.001,18:44:26,0.0001024790188631248
56,0.001,18:48:23,8.885336361671749e-05
57,0.001,18:52:19,8.99508279231673e-05
58,0.001,18:56:08,0.0001038803518794766
59,0.001,19:00:08,8.231293728584037e-05
